Building,Address,Combined
LILY,915 W. State Street,"40.42366383320516, -86.91800720160523"
HAMP,550 Stadium Mall Drive,"40.43039677265733, -86.91476679578477"
RHPH,575 Stadium Mall Drive,"40.429988082756594, -86.91593308811288"
ABE,225 S University Street,"40.42184583828238, -86.91660228811303"
BCHM,175 S University Street,"40.42293206462245, -86.91632183044118"
LAMB,800 W Stadium Avenue,"40.43252457393696, -86.91596904578468"
ARMS,701 W Stadium Avenue,"40.43124917866835, -86.91491623044094"
BHEE,465 Northwestern Avenue,"40.42881438493335, -86.9119295304411"
PRCE,701 3rd Street,"40.42686849298509, -86.91505030160513"
UNIV,672 Oval Drive,"40.425416526243914, -86.91523503044108"
SMTH,901 Mitch Daniels Blvd,"40.424246447220284, -86.9169005711702"
AR,812 3rd Street,"40.42816175150221, -86.91620365742548"
STON,700 Mitch Daniels Blvd,"40.42481089743263, -86.91524185927706"
BRWN,425 Central Drive,"40.42674078864351, -86.91200505927706"
GRIS,315 N Grant Street,"40.426577157852996, -86.91075935927708"
FRNY,480 Stadium Mall Drive,"40.429639016516774, -86.9140240746207"
LWSN,305 N University Street,"40.42786831912528, -86.91700233044111"
PAO,552 W Wood Street,"40.42272003584111, -86.9129490439334"
KNOY,401 N Grant Street,"40.427959753022684, -86.91112977276924"
HEAV,500 Oval Drive,"40.42613529357269, -86.91385913044111"
WTHR,560 Oval Drive,"40.42666922643026, -86.91307453044112"
MSEE,501 Northwestern Avenue,"40.42963835020889, -86.91272577276918"
PSYC,703 3rd Street,"40.42725079173155, -86.91487935742548"
SC,640 Oval Drive,"40.42660162500029, -86.9143155439333"
RAWL,100 S Grant Street,"40.42306706723002, -86.91042302858968"
NISW,1401 Aviation Drive,"40.41643357961426, -86.92938607276945"
PHYS,525 Northwestern Avenue,"40.43040058114167, -86.91339290160509"
MJIS,206 S Martin Jischke Drive,"40.422385636774855, -86.92102041509749"
SCHM,656 Oval Drive,"40.42593569040329, -86.91518908811295"
CL50,648 Oval Drive,"40.42652015800536, -86.91505498811297"
KRAN,403 Mitch Daniels Blvd,"40.42421173418906, -86.9109655727693"
MATH,150 N University Street,"40.42639382387042, -86.91576153044107"
BRNG,100 N University Street,"40.42580336379179, -86.91623225927707"
VPTH,725 Harrison Street,"40.42019010692528, -86.91566098811315"
LYLE,715 Clinic Drive,"40.42131864689925, -86.9167202285897"
ME,585 Purdue Mall,"40.4283678200671, -86.9129040439333"
WALC,340 Centennial Mall Drive,"40.427591856422055, -86.9131330727692"
CRTN,270 S Russell Street,"40.42137960743191, -86.91872745742562"
FORS,195 Marsteller Street,"40.42297689981937, -86.91416157462088"
HAAS,250 N University Street,"40.42699208958057, -86.91631853044107"
HIKS,Mitch Daniels Blvd,"40.42707662453534, -86.91218833113292"
HORT,Horticulture Drive,"40.421906281485846, -86.91438207548954"
LYNN,625 Harrison Street,"40.419604800072364, -86.91476444393349"
MTHW,812 Mitch Daniels Blvd,"40.42470559309234, -86.9168235746208"
NLSN,745 Agriculture Mall Drive,"40.421800345203074, -86.91543411509748"
STEW,128 Memorial Mall,"40.42519866153575, -86.91265343044113"
UC,320 North Street,"40.426293225358485, -86.9101151424739"
