Date,Start,End,Location,Capacity
03/03/2023,6:00,12:30,ABE B053,32
03/03/2023,13:20,13:30,ABE B053,32
03/03/2023,14:20,14:30,ABE B053,32
03/03/2023,16:00,22:00,ABE B053,32
03/03/2023,6:00,10:30,ABE B061,48
03/03/2023,11:20,14:30,ABE B061,48
03/03/2023,15:20,22:00,ABE B061,48
03/03/2023,6:00,08:30,ABE B073,80
03/03/2023,09:20,09:30,ABE B073,80
03/03/2023,10:20,15:30,ABE B073,80
03/03/2023,16:20,22:00,ABE B073,80
03/03/2023,6:00,09:30,AR 101,50
03/03/2023,10:20,13:30,AR 101,50
03/03/2023,14:20,22:00,AR 101,50
03/03/2023,6:00,11:30,AR 102,32
03/03/2023,12:20,22:00,AR 102,32
03/03/2023,6:00,09:30,ARMS 1010,150
03/03/2023,10:20,10:30,ARMS 1010,150
03/03/2023,11:20,11:30,ARMS 1010,150
03/03/2023,12:20,13:30,ARMS 1010,150
03/03/2023,14:20,14:30,ARMS 1010,150
03/03/2023,15:20,15:30,ARMS 1010,150
03/03/2023,17:20,22:00,ARMS 1010,150
03/03/2023,6:00,09:30,ARMS 1021,40
03/03/2023,10:20,11:30,ARMS 1021,40
03/03/2023,12:20,12:30,ARMS 1021,40
03/03/2023,13:20,13:30,ARMS 1021,40
03/03/2023,14:20,14:30,ARMS 1021,40
03/03/2023,15:20,15:30,ARMS 1021,40
03/03/2023,16:30,16:40,ARMS 1021,40
03/03/2023,17:55,19:00,ARMS 1021,40
03/03/2023,21:00,22:00,ARMS 1021,40
03/03/2023,6:00,08:00,ARMS 1028,32
03/03/2023,10:00,19:00,ARMS 1028,32
03/03/2023,21:00,22:00,ARMS 1028,32
03/03/2023,6:00,07:30,ARMS 1103,50
03/03/2023,08:20,08:30,ARMS 1103,50
03/03/2023,09:20,09:30,ARMS 1103,50
03/03/2023,10:20,10:30,ARMS 1103,50
03/03/2023,11:20,11:30,ARMS 1103,50
03/03/2023,12:20,12:30,ARMS 1103,50
03/03/2023,13:20,14:30,ARMS 1103,50
03/03/2023,15:20,16:00,ARMS 1103,50
03/03/2023,17:00,19:00,ARMS 1103,50
03/03/2023,22:00,22:00,ARMS 1103,50
03/03/2023,6:00,08:30,ARMS 1109,60
03/03/2023,09:20,09:30,ARMS 1109,60
03/03/2023,11:20,13:30,ARMS 1109,60
03/03/2023,14:20,14:30,ARMS 1109,60
03/03/2023,15:20,15:30,ARMS 1109,60
03/03/2023,17:30,17:45,ARMS 1109,60
03/03/2023,19:15,22:00,ARMS 1109,60
03/03/2023,6:00,08:30,ARMS 3109,20
03/03/2023,09:20,10:30,ARMS 3109,20
03/03/2023,11:20,14:30,ARMS 3109,20
03/03/2023,15:30,22:00,ARMS 3109,20
03/03/2023,6:00,08:30,ARMS 3115,32
03/03/2023,09:20,09:30,ARMS 3115,32
03/03/2023,10:20,10:30,ARMS 3115,32
03/03/2023,11:20,11:30,ARMS 3115,32
03/03/2023,12:20,12:30,ARMS 3115,32
03/03/2023,13:20,13:30,ARMS 3115,32
03/03/2023,14:20,15:30,ARMS 3115,32
03/03/2023,16:20,15:30,ARMS 3115,32
03/03/2023,16:20,22:00,ARMS 3115,32
03/03/2023,6:00,08:30,ARMS B061,120
